Antibiótico,Microrganismo,sítio,Ano,periodo,n_amostra,n_sensivel,Sensibilidade
Ceftaroline,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Ciprofloxacina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Clindamicina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Eritromicina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Linezolida,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Oxacilina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Penicilina ,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Rifampicina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Smx-Tmp,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Teicoplanina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Tetraciclinas,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Tobramicina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Vancomicina,Staphylococcus Aureus,Secreção,2023,1º sem. de 2023,15,13,87.0
Amicacina,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Amoxicilina/Ac. Clavulânico,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Ampicilina,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Aztreonam,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Cefadroxil,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Cefepime,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Cefotaxima,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Ceftazidima,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Ceftriaxona,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Ciprofloxacina,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Ertapenem,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Fosfomicina,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Gentamicina,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Imipenem,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Levofloxacim,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Meropenem,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Piperacilina/Tozobactan,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Smx-Tmp,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Tobramicina,Escherichia Coli,Urocultura,2023,2º sem. de 2023,19,19,100.0
Ampicilina,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Ciprofloxacina,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Gentamicina,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Imipenem,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Linezolida,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Meropenem,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Oxacilina,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Piperacilina/Tozobactan,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Tigeciclina,Enterococcus Spp,Urocultura,2023,1º sem. de 2023,9,9,100.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Cefazolina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Estreptomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Meropenem,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Piperacilina/Tozobactan,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Tigeciclina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Cefazolina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Estreptomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Meropenem,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Piperacilina/Tozobactan,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Tigeciclina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,6,40.0
Amicacina,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ampicilina,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Aztreonam,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Cefepime,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Cefotaxima,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ceftazidima,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ceftazidime/Avbactam,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ceftriaxona,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ciprofloxacina,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ertapenem,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Gentamicina,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Imipenem,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Levofloxacim,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Meropenem,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Piperacilina/Tozobactan,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Smx-Tmp,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Tigeciclina,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Tobramicina,Enterobacter Spp ,Fragmento Não Osseo,2023,1º sem. de 2023,18,16,89.0
Ampicilina,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Ciprofloxacina,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Gentamicina,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Levofloxacim,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Linezolida,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Smx-Tmp,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Tigeciclina,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Vancomicina,Enterococcus Faecalis,Vigilancia,2023,2º sem. de 2023,8,5,62.0
Amicacina,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Aztreonam,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Cefepime,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Ceftazidima,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Ciprofloxacina,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Gentamicina,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Imipenem,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Levofloxacim,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Meropenem,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Tobramicina,Pseudomonas Aeruginosa,Escarro,2023,2º sem. de 2023,11,5,45.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,7,47.0
Amicacina,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Amoxicilina/Ac. Clavulânico,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Ampicilina,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Aztreonam,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Cefepime,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Cefotaxima,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Ceftazidima,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Ceftriaxona,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Ciprofloxacina,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Ertapenem,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Gentamicina,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Imipenem,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Levofloxacim,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Meropenem,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Piperacilina/Tozobactan,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Smx-Tmp,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Tigeciclina,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Tobramicina,Klebsiella Spp,Fragmento Não Osseo,2023,1º sem. de 2023,18,4,22.0
Ampicilina,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Ciprofloxacina,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Fosfomicina,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Gentamicina,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Levofloxacim,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Linezolida,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Nitrofurantoina,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Penicilina ,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Tetraciclinas,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Vancomicina,Enterococcus Spp,Urocultura,2023,2º sem. de 2023,10,7,70.0
Amicacina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ampicilina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Aztreonam,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Cefepime,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Cefotaxima,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ceftazidima,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ceftazidime/Avbactam,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ceftriaxona,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ciprofloxacina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ertapenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Fosfomicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Gentamicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Imipenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Levofloxacim,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Meropenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Piperacilina/Tozobactan,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Smx-Tmp,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Tobramicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Amicacina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ampicilina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Aztreonam,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Cefepime,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Cefotaxima,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ceftazidima,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ceftazidime/Avbactam,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ceftriaxona,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ciprofloxacina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ertapenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Fosfomicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Gentamicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Imipenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Levofloxacim,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Meropenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Piperacilina/Tozobactan,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Smx-Tmp,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Tobramicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,18,10,56.00000000000001
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ampicilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Cefadroxil,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ceftaroline,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Ciprofloxacina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Clindamicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Eritromicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Linezolida,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Oxacilina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Penicilina ,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Rifampicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Smx-Tmp,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Teicoplanina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tetraciclinas,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Tobramicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Vancomicina,Staphylococcus Coag Neg,Hemocultura,2023,1º sem. de 2023,15,4,27.0
Amicacina,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Aztreonam,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Cefepime,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Ceftazidima,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Ciprofloxacina,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Gentamicina,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Imipenem,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Levofloxacim,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Meropenem,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Tobramicina,Pseudomonas Aeruginosa,Hemocultura,2023,2º sem. de 2023,11,11,100.0
Cefepime,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Clindamicina,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Eritromicina,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Levofloxacim,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Linezolida,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Oxacilina,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Penicilina ,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Teicoplanina,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Vancomicina,Streptococcus Mitisorasis Jong Up ,Hemocultura,2023,2º sem. de 2023,9,9,100.0
Ampicilina,Staphylococcus Aureus,Hemocultura,2023,1º sem. de 2023,15,13,87.0
Cefadroxil,Staphylococcus Aureus,Hemocultura,2023,1º sem. de 2023,15,13,87.0
